mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on
1148,gtfs,US,Arizona,Flagstaff,Mountain Line,,https://transitfeeds.com/p/mountain-line/243/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-arizona-mountain-line-gtfs-1148.zip?alt=media,,35.142631,35.330199,-111.710555,-111.573353,2022-03-23T18:32:53+00:00
1149,gtfs,JP,Shizuoka,Shimada,Shimada Local Voluntary Operation Bus,,https://transitfeeds.com/p/opentransit/588/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/jp-shizuoka-shimada-local-voluntary-operation-bus-gtfs-1149.zip?alt=media,,34.68244,35.0380483,138.0763843,138.237775,2022-03-23T18:32:56+00:00
1150,gtfs,PL,Mazowieckie,Plock,Komunikacja Miejska Płock,,https://transitfeeds.com/p/przyjazdy-pl-plock/1211/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pl-mazowieckie-komunikacja-miejska-plock-gtfs-1150.zip?alt=media,https://gtfs.pl/gtfs/plock,52.40001,52.7391306798103,19.4006725,20.1042322,2022-03-23T18:33:00+00:00
1151,gtfs,PL,Dolnoslaskie,Bielawa,Komunikacja Miejska Bielawa Dzierżoniów,,https://transitfeeds.com/p/przyjazdy-pl/1206/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pl-dolnoslaskie-komunikacja-miejska-bielawa-dzierzoniow-gtfs-1151.zip?alt=media,,50.59326,50.75193,16.52527,16.85735,2022-03-23T18:33:03+00:00
1152,gtfs,DE,Bayern,Leupoldsgrün,Bürgerbus Leupoldsgrün (Landkreis Hof),,https://transitfeeds.com/p/b-rgerbus-leupoldsgr-n-landkreis-hof/1126/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-bayern-burgerbus-leupoldsgrun-landkreis-hof-gtfs-1152.zip?alt=media,,50.267313,50.330725,11.74581,11.850072,2022-03-23T18:33:05+00:00
1153,gtfs,FR,Pays-de-la-Loire,,TER Pays de la Loire,Trains régionaux,https://transitfeeds.com/p/region-des-pays-de-la-loire/1072/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-pays-de-la-loire-ter-pays-de-la-loire-gtfs-1153.zip?alt=media,http://opendatacommons.org/licenses/odbl/,46.1527013855,49.1765435198,-4.4789179163,2.3198944238,2022-03-23T18:33:08+00:00
1154,gtfs,IT,Piemonte,,Regione Piemonte,,https://transitfeeds.com/p/regione-piemonte/1192/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-regione-piemonte-gtfs-1154.zip?alt=media,http://www.dati.piemonte.it/catalogodati/dato/100939-.html,43.891129,46.41969,6.658442,9.176198,2022-03-23T18:33:16+00:00
1155,gtfs,PT,Lisboa,,Rodoviária de Lisboa,,https://transitfeeds.com/p/rodoviaria-de-lisboa/998/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pt-lisboa-rodoviaria-de-lisboa-gtfs-1155.zip?alt=media,,38.7434172392276,38.9770062842821,-9.29831878012572,-9.02670437706732,2022-03-23T18:33:20+00:00
1156,gtfs,US,Virginia,,Potomac and Rappahannock Transportation Commission (PRTC) Omniride,,http://omniride.com/omniride/assets/File/google_transit.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-potomac-and-rappahannock-transportation-commission-prtc-omniride-gtfs-1156.zip?alt=media,http://virginia-gtfs.com/,38.475418,38.931923,-77.637254,-76.992477,2022-04-25T23:06:28+00:00
1157,gtfs,US,Florida,Sanford,Sanford Trolley,,https://transitfeeds.com/p/sanford-trolley/947/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-sanford-trolley-gtfs-1157.zip?alt=media,,28.807973368798734,28.813954863341745,-81.298514,-81.25601599140168,2022-03-23T18:33:43+00:00
1158,gtfs,TN,Médenine,,SRTMedenine,,https://transitfeeds.com/p/srtmedenine/1204/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/tn-medenine-srtmedenine-gtfs-1158.zip?alt=media,,32.010672,34.722848,9.983225,11.5514679,2022-03-23T18:33:49+00:00
1159,gtfs,FR,Île-de-France,Paris,STAR,,https://transitfeeds.com/p/star/208/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-ile-de-france-star-gtfs-1159.zip?alt=media,https://data.explore.star.fr/explore/dataset/tco-busmetro-horaires-gtfs-versions-td/information/,47.959332,48.2997,-1.945373,-1.478264,2022-03-23T18:34:10+00:00
1160,gtfs,US,Kansas,Johnson County,The JO,,https://transitfeeds.com/p/the-jo/632/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-kansas-the-jo-gtfs-1160.zip?alt=media,,38.9007720170609,38.9559226310118,-95.2634120264484,-94.7252041850774,2022-03-23T18:34:12+00:00
1161,gtfs,GR,Thessaloniki,,TRAINOSE,,https://transitfeeds.com/p/trainose/1193/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/gr-thessaloniki-trainose-gtfs-1161.zip?alt=media,,37.64566,42.71287,21.41504,26.62184,2022-03-23T18:38:55+00:00
1162,gtfs,ES,Bizkaia,Bilbao,El Transbordador de Vizcaya,,https://transitfeeds.com/p/transbordador-vizcaya/660/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/es-bizkaia-el-transbordador-de-vizcaya-gtfs-1162.zip?alt=media,,43.3228,43.323612,-3.018,-3.016314,2022-03-23T18:38:57+00:00
1163,gtfs,AU,Queensland,Innisfail,Innisfail,,https://transitfeeds.com/p/translink/10/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-innisfail-gtfs-1163.zip?alt=media,,-17.543952,-17.490769,145.988544,146.076147,2022-03-23T18:38:59+00:00
1164,gtfs,AU,Queensland,Maleny,Maleny / Landsborough,,https://transitfeeds.com/p/translink/14/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-maleny-landsborough-gtfs-1164.zip?alt=media,,-26.862165,-26.61763,152.850518,152.966059,2022-03-23T18:39:02+00:00
1165,gtfs,AU,Queensland,Toowoomba,Toowoomba,,https://transitfeeds.com/p/translink/17/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-toowoomba-gtfs-1165.zip?alt=media,,-27.611151,-27.258647,151.869525,152.06874,2022-03-23T18:39:06+00:00
1166,gtfs,AU,Queensland,Townsville,Townsville,,https://transitfeeds.com/p/translink/18/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-townsville-gtfs-1166.zip?alt=media,,-19.393504,-19.189667,146.646356,146.850212,2022-03-23T18:39:12+00:00
1167,gtfs,AU,Queensland,Bowen,Bowen,,https://transitfeeds.com/p/translink/5/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-bowen-gtfs-1167.zip?alt=media,,-20.018563,-19.970855,148.225334,148.265266,2022-03-23T18:39:16+00:00
1168,gtfs,AU,Queensland,Gladstone,Gladstone,,https://transitfeeds.com/p/translink/8/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-gladstone-gtfs-1168.zip?alt=media,,-23.960521,-23.838753,151.21067,151.370321,2022-03-23T18:39:19+00:00
1169,gtfs,AU,Western Australia,Perth,Transperth,,https://transitfeeds.com/p/transperth/2/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-western-australia-transperth-gtfs-1169.zip?alt=media,,-35.0682822222222,-20.3008238888889,113.649835555556,121.893761666667,2022-03-23T18:41:49+00:00
1170,gtfs,IT,Piemonte,,Trenitalia Piemonte,,https://transitfeeds.com/p/trenitalia-dtr-piemonte/931/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-trenitalia-piemonte-gtfs-1170.zip?alt=media,,43.789494,46.115411,6.657883,9.238299,2022-03-23T18:41:57+00:00
1171,gtfs,US,Utah,Salt Lake City,UTA,,https://transitfeeds.com/p/utah-transportation-authority/59/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-utah-uta-gtfs-1171.zip?alt=media,,39.975518,41.528157,-112.325431,-111.546827,2022-03-23T18:42:10+00:00
1172,gtfs,DE,Thüringen,,Verkehrsverbund Mittelthüringen (VMT),,https://transitfeeds.com/p/verkehrsverbund-mittelth-ringen/1080/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-thuringen-verkehrsverbund-mittelthuringen-vmt-gtfs-1172.zip?alt=media,,50.035311,52.594718,9.446892,12.48745,2022-03-23T18:42:19+00:00
1173,gtfs,DE,Baden-Württemberg,Mannheim,Verkehrsverbund Rhein-Neckar,,https://transitfeeds.com/p/verkehrsverbund-rhein-neckar/1076/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-verkehrsverbund-rhein-neckar-gtfs-1173.zip?alt=media,,48.9785761,50.0404441,7.2480389,10.1944321,2022-03-23T18:44:18+00:00
1174,gtfs,CA,Ontario,Waterloo,wroute,,https://transitfeeds.com/p/wroute/1159/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-wroute-gtfs-1174.zip?alt=media,,43.3135361,43.54418,-80.44126,-79.8221389,2022-03-23T18:44:31+00:00
1175,gtfs,PL,Warmińsko-mazurskie,Olsztyn,ZDZiT Olsztyn,,https://transitfeeds.com/p/zdzit-olsztyn/993/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pl-warminsko-mazurskie-zdzit-olsztyn-gtfs-1175.zip?alt=media,https://www.zdzit.olsztyn.eu/pl/transport-publiczny/dane-rozkladowe,53.58403497,53.987067,20.28459222,20.746555,2022-03-23T18:44:36+00:00
1176,gtfs,PL,Rybnik,Śląskie,ZTZ Rybnik,,https://transitfeeds.com/p/ztz-rybnik/1114/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pl-rybnik-ztz-rybnik-gtfs-1176.zip?alt=media,,50.00251964423,50.19273439418,18.286475,18.69397495643,2022-03-23T18:44:40+00:00
1177,gtfs,IT,,,Autolinee Mugello Valdisieve,,https://transitfeeds.com/p/autolinee-mugello-valdisieve/750/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-unknown-autolinee-mugello-valdisieve-gtfs-1177.zip?alt=media,,43.7199842176331,44.2223466120114,11.0681514414699,11.7987536850543,2022-03-23T18:45:04+00:00
1178,gtfs,US,California,San Francisco,Blue & Gold Fleet,,https://transitfeeds.com/p/blue-gold-fleet/824/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-blue-gold-fleet-gtfs-1178.zip?alt=media,,37.662676,38.10127,-122.41209,-122.25692,2022-03-23T18:45:07+00:00
