mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,Transitland ID,Transit Feeds ID
348,gtfs,US,Florida,Sarasota,Sarasota County Area Transit (SCAT),,http://data.trilliumtransit.com/gtfs/spacecoast-fl-us/spacecoast-fl-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-sarasota-county-area-transit-scat-gtfs-348.zip?alt=media,,27.951516,28.755067,-80.873802,-80.566966,2022-03-15T21:16:53+00:00,,"sarasota-county-area-transit/376, space-coast-area-transit/395"
359,gtfs,US,Tennessee,Chattanooga,Chattanooga Area Regional Transportation Authority (CARTA),,https://www.gocarta.org/wp-content/uploads/2021/08/GTFS.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-tennessee-chattanooga-area-regional-transportation-authority-carta-gtfs-359.zip?alt=media,,34.984097,35.13868,-85.333245,-85.127349,2022-03-22T17:15:11+00:00,,chattanooga-area-regional-transportation-authority/360
459,gtfs,US,Colorado,,Estes Transit,,http://data.trilliumtransit.com/gtfs/estestransit-co-us/estestransit-co-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-estes-transit-gtfs-459.zip?alt=media,,40.360063,40.40197,-105.586547,-105.481515508361,2022-03-16T15:35:00+00:00,,
474,gtfs,US,Virginia,Williamsburg,Williamsburg Area Transit Authority (WATA),,http://www.gowata.org/DocumentCenter/View/500,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-virginia-williamsburg-area-transit-authority-wata-gtfs-474.zip?alt=media,,37.19292,37.41068,-76.82154,-76.51867,2022-03-16T17:23:55+00:00,,wata/941
476,gtfs,US,Maryland,,St. Mary's Transit System (STS),,https://github.com/mobilityequity/maryland-local-gtfs/raw/master/SM_GTFS.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-maryland-st-marys-transit-system-sts-gtfs-476.zip?alt=media,https://github.com/mobilityequity/maryland-local-gtfs/blob/master/README.md,38.108913,38.500123,-76.832048,-76.365933,2022-03-16T17:23:57+00:00,,
497,gtfs,US,Maryland,,Washington County Transit,,https://github.com/mobilityequity/maryland-local-gtfs/raw/master/WC_GTFS.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-maryland-washington-county-transit-gtfs-497.zip?alt=media,,39.5997022863592,39.719788562,-77.821214,-77.57312,2022-03-16T17:24:53+00:00,,washington-county-transit/1081
511,gtfs,US,New York,New York City,MTA New York City Transit (MTA),NYC Subway Supplemented,http://web.mta.info/developers/files/google_transit_supplemented.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-mta-new-york-city-transit-mta-gtfs-511.zip?alt=media,,40.512764,40.903125,-74.251961,-73.755405,2022-03-22T17:14:49+00:00,,mta/886
518,gtfs,US,New York,New York City,Staten Island Ferry,,http://www.nyc.gov/html/dot/downloads/misc/siferry-gtfs.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-staten-island-ferry-gtfs-518.zip?alt=media,,40.644169,40.70136,-74.072201,-74.012666,2022-03-16T17:26:46+00:00,,nyc-dot/281
585,gtfs,US,Indiana,South Bend,South Shore Line,,http://www.mysouthshoreline.com/google/google_transit.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-indiana-south-shore-line-gtfs-585.zip?alt=media,,41.597858,41.8841667,-87.6230556,-86.310951,2022-03-16T20:10:05+00:00,,south-shore-line/863
592,gtfs,US,Massachusetts,,Bloom Tours,,https://www.mass.gov/doc/bloom-tours-zip-file-6242015/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-massachusetts-bloom-tours-gtfs-592.zip?alt=media,,41.900542,42.350794,-71.100949,-71.048179,2022-03-16T20:10:15+00:00,,massdot/110
593,gtfs,US,,,Flixbus,,http://data.ndovloket.nl/flixbus/flixbus-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-unknown-flixbus-gtfs-593.zip?alt=media,,25.7782,42.343998,-118.449001,-71.061576,2022-03-16T20:10:17+00:00,,flixbus-united-states/1246
595,gtfs,US,California,San Francisco,"Alcatraz Cruises - Hornblower, Angel Island Tiburon Ferry, Blue & Gold Fleet",,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-alcatraz-cruises-hornblower-gtfs-595.zip?alt=media,,37.795497,37.872939,-122.478275,-122.393365,2022-03-16T20:10:19+00:00,,"alcatraz-cruises-hornblower/1348, angel-island-ferry/1347, blue-gold-fleet/824"
597,gtfs,US,Connecticut,,Connecticut Transit,Hartford Line - Rail,http://www.hartfordline.com/files/gtfs/gtfs.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-connecticut-connecticut-transit-gtfs-597.zip?alt=media,,41.29732995,42.1063349,-72.92619467,-72.5933969,2022-03-16T20:10:21+00:00,,connecticut-transit/1089
598,gtfs,FR,Auvergne-Rhône-Alpes,Rumilly,J'ybus,,https://www.data.gouv.fr/fr/datasets/r/f8b861f3-6fbd-4eed-a82e-9fed96c9dd09,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-jybus-gtfs-598.zip?alt=media,https://transport.data.gouv.fr/datasets/offre-de-transports-jybus-a-rumilly,45.840406,45.921741,5.932356,6.120262,2022-04-26T02:19:20+00:00,,
599,gtfs,US,California,Vacaville,City Coach,,http://data.trilliumtransit.com/gtfs/vacavillecitycoach-ca-us/vacavillecitycoach-ca-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-city-coach-gtfs-599.zip?alt=media,,38.32518498,38.3978029,-122.00789,-121.93363,2022-03-16T20:10:28+00:00,,city-coach/1141
